Ace Cannon 	 Alley Cat.mp3
Ottmar Liebert 	 2 The Night.mp3
 Oxygene IV.mp3	
 Oxygene Part II.mp3	
P.Mauriat 	 Love is Blue.mp3
Pan Dana 	 The Good, The Bad and The Ugly.mp3
Paruis	Frnce
Paul Mauriat 	 Brazilia Carnaval.mp3
Paul Mauriat 	 Godfather.mp3
Paul Mauriat 	 Mamy Blue.mp3
Paul Mauriat 	 Un Homme Et Une Femme.mp3
Pedro Alvarez 	 Ole Guapa.mp3
Peter Weekers 	 Wish You Were Here.mp3
Poly e Seu Conjunto 	 Tristeza Do Jeca.mp3
R. Claydermann 	 Fur Elise.mp3
R.Clayderman 	 The Phantom Of The Opera.mp3
Ricardo Caliente 	 Robbons Of Blue.mp3
Richard Clauderman 	 Aline.mp3
Richard Clauderman 	 Do You Know.mp3
Richard Clauderman 	 Dolannes Melody.mp3
Richard Clayderman 	 Moonlight Sonata.mp3
Ricky King 	 Exodus.mp3
Ricky King 	 Hava Nagila.mp3
Ricky King 	 Lotos Blume.mp3
Ricky King 	 Love Story.mp3
Ricky King 	
Rithie Blackmore 	 Ministrel Hall.mp3
Saint	Preux 
Saint Preux 	 Amours Meteores.mp3
Saint Preux 	 Prelude Pour Plano.mp3
Santana 	 I Love You Much To Much.mp3
Santana 	 Luz Amor Y Vida.mp3
Santana 	 Moonflower.mp3
Secret Service 	 Aux Deux Magots.mp3
Shane Maguire 	 Orinoco Flow.mp3
Shane Maguire 	 Paint The Sky With Stars.mp3
Space 	 Balad For Space Lovers.mp3
Space 	 Blue Tears.mp3
Space 	 Running In The City.mp3
Space 	 Secret Dreams.mp3
 Storm.mp3	
The Aqua Velvets 	 Spanish Blue.mp3
The Intimate Orchestra 	 Sadeness.mp3
The Krew Kats 	 Samovar.mp3
The No	Notes 
The Shadows 	 Chattanooga Choo Choo.mp3
The Shadows 	 Man Of Mistery.mp3
The Shadows 	 Riders In The Sky.mp3
The Shadows 	 The Lute Number.mp3
The Ventures 	 Raindrops Keep Falling On My Head.mp3
The Ventures 	 Walk, Don't Run.mp3
The Waikikis 	 A Little Bit Of Heaven.mp3
The Waikikis 	 Hawaiian Lollipops.mp3
The Waikikis 	 Home In Hawai.mp3
The Waikikis 	 Honolulu Rose.mp3
The Waikikis 	 Road To Waikiki.mp3
Tiao Carreiro 	 Selecao De Pagode N6.mp3
Tiao Carreiro 	 Selecao De Pagode N7.mp3
Tiao Carreiro 	 Selecao De Polcas.mp3
Tiçao Carreiro 	 beijinho doce.mp3
Tiçao Carreiro 	 Casinha Branca Da Serra.mp3
Tiçao Carreiro 	 Cavalo Zaino.mp3
Tiçao Carreiro 	 Cidade Morena.mp3
Tiçao Carreiro 	 Maladrinho.mp3
Tiçao Carreiro 	 Malandro Da Barra Funda.mp3
Tiçao Carreiro 	 O Mineiro Do Pagode.mp3
Tiçao Carreiro 	 Viola Barulhenta.mp3
Tiçao Carreiro 	 Vou Toma Um Pingao.mp3
Tranzit 	 Souvenir From Rio.mp3
Vanessa	Mae 
Vanessa Mae 	 Can Can.mp3
Vanessa Mae 	 Contadanza.mp3
Vangelis 	 Ignacio.mp3
Walter Murphy 	 A Fifth Of Beethoven.mp3
Whitehall Mystery Orchestra 	 My Serenade.mp3
Winifred Atwell 	 The Poor People Of Paris.mp3
