Filename,Size,Unit
"Screens/Aubrey Skye,","Tiffany Fox - Frosting on the Cake (TeenBFF) - July 05, 2012_thumbs.jpg",314.69,K
"Screens/Mandy Armani,","Molly Bennett - Hard to Choose (TeenBFF) - March 02, 2012_thumbs.jpg",311.19,K
"Screens/Holly Michaels,","Lizz Tayler - Serving For Two (TeenBFF) - July 19, 2012_thumbs.jpg",309.95,K
"Screens/Valerie Sparks,","Rachel Rose - Easily Influenced (TeenBFF) - November 29, 2012_thumbs.jpg",309.66,K
"Screens/Ella Milano,","Madison Ivy - Lazy Afternoon Threesome (TeenBFF) - April 05, 2012_thumbs.jpg",307.56,K
"Screens/Holly Michaels,","Annika Albrite - Afternoon Hot Threesome (TeenBFF) - September 20, 2012_thumbs.jpg",303.63,K
"Screens/Lizz Tayler,","Victoria Rae Black - 18 Year Old Threesome Fun (TeenBFF) - February 14, 2012_thumbs.jpg",301.37,K
"Screens/Megan Piper,","Giselle Leon - Best Friend Action (TeenBFF) - June 14, 2012_thumbs.jpg",301.15,K
"Screens/Lizz Tayler,","Kendall Karson - Join The Party (TeenBFF) - October 11, 2012_thumbs.jpg",298.5,K
"Screens/Zoey Kush,","Riley Reid - Double Pussy Galore (TeenBFF) - May 10, 2012_thumbs.jpg",298.24,K
"Screens/Morgan Brooke,","Mae Olsen - Virtue of Jealousy (TeenBFF) - May 03, 2012_thumbs.jpg",298.12,K
"Screens/Holly Michaels, Madison Ivy - Sex Therapy (TeenBFF) - November 08, 2012_thumbs.jpg",291.83,K
"Screens/Avril Hall,","Lexi Belle - Playful Beach Babes (TeenBFF) - October 18, 2012_thumbs.jpg",290.77,K
"Screens/Anissa Kate,","Breanne Benson - Tender Friendship (TeenBFF) - November 15, 2012_thumbs.jpg",288.74,K
"Screens/Whitney Westgate, Alexis Monroe - Valley Girls (TeenBFF) - August 09, 2012_thumbs.jpg",288.45,K
"Screens/Holly Michaels, Natalia Starr - Taste So sweet (TeenBFF) - December 28, 2012_thumbs.jpg",287.24,K
"Screens/Ella Milano,","Callie Cyprus - Friends with Benefits (TeenBFF) - March 08, 2012_thumbs.jpg",284.07,K
"Screens/Dani Jensen,","April O'Neil - Dinner's On You (TeenBFF) - September 13, 2012_thumbs.jpg",282,K
"Screens/Holly Michaels,","Dani Daniels - Time To Play (TeenBFF) - December 06, 2012_thumbs.jpg",280.26,K
"Screens/Mia Malkova,","Casana Lei - Flexible Girl Threesome (TeenBFF) - November 01, 2012_thumbs.jpg",268.63,K
"Screens/Whitney Westgate, Allie James - Friendly Pampering (TeenBFF) - October 05, 2012_thumbs.jpg",265.95,K
"Screens/Carmen Monet,","Sally Charles - Sexual Hospitality (TeenBFF) - February 17, 2012_thumbs.jpg",252.37,K
"Screens/Dani Jensen,","Zoey Nixon - Seduction Frontier (TeenBFF) - August 16, 2012.wmv.jpg",208.48,K
